main_id,st_name,dist,dist_name,start_time,end_time,side,from,to,miles,section,one_way,week_1,week_2,week_3,week_4,week_5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,every_day,year_round,north_end_pilot,timestamp,parent,losta,hista,_ingest_datetime
1220,Hallam St,3,North Dorchester,08:00,12:00,Even,Dorchester Ave,Auckland St,0.0670454545454545,,f,f,t,f,t,f,f,t,f,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HALLA1,0,354,2024-09-12 04:31:41+00
1221,Hallam St,3,North Dorchester,08:00,12:00,Odd,Dorchester Ave,Auckland St,0.0670454545454545,,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HALLA1,0,354,2024-09-12 04:31:41+00
1222,Hamilton St,3,North Dorchester,12:00,16:00,Odd,Columbia Rd,Bowdoin St,0.377651515151515,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,HAMIL2,0,1994,2024-09-12 04:31:41+00
1223,Hamilton St,3,North Dorchester,08:00,12:00,Even,Bowdoin St,Homes Ave,0.18844696969697,,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,2013-06-13 19:33:03+00,HAMIL2,1994,2989,2024-09-12 04:31:41+00
1224,Hamilton St,3,North Dorchester,08:00,12:00,Odd,Bowdoin St,Homes Ave,0.18844696969697,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2013-06-13 19:32:56+00,HAMIL2,1994,2989,2024-09-12 04:31:41+00
1225,Hillsboro Rd,7,South Dorchester,08:00,12:00,Even,Wellington Hill St,Ormond St,0.123106060606061,,f,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HILLS1,370,1020,2024-09-12 04:31:41+00
1226,Hamilton St,3,North Dorchester,12:00,16:00,Even,Columbia Rd,Bowdoin St,0.377651515151515,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,HAMIL2,0,1994,2024-09-12 04:31:41+00
1227,Homestead St,10R,Roxbury,08:00,12:00,Odd,Walnut Ave,Elm Hill Ave,0.461931818181818,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,HOMES4,0,2439,2024-09-12 04:31:41+00
1228,Hamlin St,5,South Boston,09:00,13:00,Even,East Eighth St,Columbia Rd,0.0579545454545455,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2012-02-14 13:36:32+00,HAMLI1,0,306,2024-09-12 04:31:41+00
1229,Hamlin St,5,South Boston,09:00,13:00,Odd,East Eighth St,Columbia Rd,0.0579545454545455,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2012-02-14 13:36:32+00,HAMLI1,0,306,2024-09-12 04:31:41+00
1230,Hammond St,10R,Roxbury,08:00,12:00,Odd,Shawmut Ave,Tremont St,0.225568181818182,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2012-02-29 15:06:53+00,HAMMO1,0,1191,2024-09-12 04:31:41+00
1231,Hammond St,10R,Roxbury,08:00,12:00,Odd,Shawmut Ave,Tremont St,0.225568181818182,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2012-02-29 15:06:53+00,HAMMO1,0,1191,2024-09-12 04:31:41+00
1232,Hammond St,10R,Roxbury,08:00,12:00,Even,Shawmut Ave,Tremont St,0.225568181818182,,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,2012-02-29 15:06:53+00,HAMMO1,0,1191,2024-09-12 04:31:41+00
1233,Hammond St,10R,Roxbury,08:00,12:00,Even,Shawmut Ave,Tremont St,0.225568181818182,,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,2012-02-29 15:06:53+00,HAMMO1,0,1191,2024-09-12 04:31:41+00
1234,Hancock St,3,North Dorchester,12:00,16:00,Odd,Pleasant St,Dorchester Ave,0.166287878787879,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2012-02-14 13:36:32+00,HANCO1,2854,3732,2024-09-12 04:31:41+00
1235,Hancock St,3,North Dorchester,08:00,12:00,Even,Pleasant St,Dorchester Ave,0.166287878787879,,f,f,t,f,t,f,f,t,f,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HANCO1,2854,3732,2024-09-12 04:31:41+00
1238,Hano St,4,Allston/Brighton,08:00,12:00,Even,Braintree St,Cambridge St,0.198295454545455,,f,f,t,f,t,f,f,t,f,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HANO 1,0,1047,2024-09-12 04:31:41+00
1239,Hano St,4,Allston/Brighton,08:00,12:00,Odd,Braintree St,Cambridge St,0.198295454545455,,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HANO 1,0,1047,2024-09-12 04:31:41+00
1240,Hanover St,1F,Downtown,00:01,07:00,,Congress St,Blackstone St,0.0573863636363636,,f,t,t,t,t,t,t,t,t,t,t,t,t,t,t,f,2012-02-29 15:06:53+00,HANOV2,0,303,2024-09-12 04:31:41+00
1241,Hanover St,1N,North End,08:00,12:00,Odd,Fleet St,Commercial St,0.175378787878788,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,t,2019-07-01 14:35:41+00,HANOV3,984,1910,2024-09-12 04:31:41+00
1242,Hanover St,1N,North End,08:00,12:00,Even,Fleet St,Commercial St,0.175378787878788,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,t,2019-07-01 14:35:30+00,HANOV3,984,1910,2024-09-12 04:31:41+00
1243,Hanover St,1N,North End,08:00,12:00,Even,Cross St,Fleet St,0.186363636363636,,f,f,t,f,t,f,f,f,t,f,f,f,f,f,f,t,2012-02-14 13:36:32+00,HANOV3,0,984,2024-09-12 04:31:41+00
1244,Hanover St,1N,North End,08:00,12:00,Odd,Cross St,Fleet St,0.186363636363636,,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,t,2012-02-14 13:36:32+00,HANOV3,0,984,2024-09-12 04:31:41+00
1245,Hansborough St,7,South Dorchester,12:00,16:00,Even,Blue Hill Ave,Harvard St,0.121401515151515,,f,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HANSB1,0,641,2024-09-12 04:31:41+00
1246,Hansborough St,7,South Dorchester,12:00,16:00,Odd,Blue Hill Ave,Harvard St,0.121401515151515,,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HANSB1,0,641,2024-09-12 04:31:41+00
1247,Hanson St,1S,South End,08:00,12:00,Even,Shawmut Ave,Tremont St,0.131439393939394,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,t,2012-02-14 13:36:32+00,HANSO1,0,694,2024-09-12 04:31:41+00
1248,Hanson St,1S,South End,08:00,12:00,Odd,Shawmut Ave,Tremont St,0.131439393939394,,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,t,2020-08-20 12:12:20+00,HANSO1,0,694,2024-09-12 04:31:41+00
1249,Lawrence St,1S,South End,12:00,16:00,Even,Berkeley St,Dartmouth St,0.23219696969697,,f,t,f,t,f,t,f,f,f,t,f,f,f,f,f,t,2012-02-29 15:06:53+00,LAWRE3,0,1226,2024-09-12 04:31:41+00
1250,Harborview St,3,North Dorchester,08:00,12:00,Even,Dorchester Ave,Sydney St,0.216098484848485,,f,f,t,f,t,f,f,t,f,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HARBO1,0,1141,2024-09-12 04:31:41+00
1251,Harborview St,3,North Dorchester,08:00,12:00,Odd,Dorchester Ave,Sydney St,0.216098484848485,,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HARBO1,0,1141,2024-09-12 04:31:41+00
1252,Harcourt St,1B,Back Bay,08:00,12:00,Even,St Botolph St,Dead End,0.0553030303030303,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,HARCO1,300,592,2024-09-12 04:31:41+00
1253,Harcourt St,1B,Back Bay,08:00,12:00,Odd,St Botolph St,Dead End,0.0553030303030303,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,HARCO1,300,592,2024-09-12 04:31:41+00
1254,Hardy St,5,South Boston,09:00,13:00,Even,East Eighth St,Marine Rd,0.0573863636363636,,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,2012-02-14 13:36:32+00,HARDY1,0,303,2024-09-12 04:31:41+00
1255,Hardy St,5,South Boston,09:00,13:00,Odd,East Eighth St,Marine Rd,0.0573863636363636,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2012-02-14 13:36:32+00,HARDY1,0,303,2024-09-12 04:31:41+00
1256,Harold St,10R,Roxbury,08:00,12:00,Even,Hollander St,Seaver St,0.308712121212121,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,HAROL1,0,1630,2024-09-12 04:31:41+00
1257,Harold St,10R,Roxbury,08:00,12:00,Odd,Hollander St,Seaver St,0.308712121212121,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,HAROL1,0,1630,2024-09-12 04:31:41+00
1258,Harold St,10R,Roxbury,12:00,16:00,Even,Harold Park,Holworthy St,0.263636363636364,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,HAROL2,0,1392,2024-09-12 04:31:41+00
1259,Harold St,10R,Roxbury,12:00,16:00,Odd,Harold Park,Holworthy St,0.263636363636364,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,HAROL2,0,1392,2024-09-12 04:31:41+00
1260,Harriet St,4,Allston/Brighton,08:00,12:00,Odd,South Hobart St,Faneuil St,0.0486742424,,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,f,2017-06-15 17:08:52+00,HARRI1,1080,1337,2024-09-12 04:31:41+00
1261,Harriet St,4,Allston/Brighton,08:00,12:00,Even,South Hobart St,Faneuil St,0.0486742424,,f,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,2017-06-15 17:08:48+00,HARRI1,1080,1337,2024-09-12 04:31:41+00
