main_id,st_name,dist,dist_name,start_time,end_time,side,from,to,miles,section,one_way,week_1,week_2,week_3,week_4,week_5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,every_day,year_round,north_end_pilot,timestamp,parent,losta,hista,_ingest_datetime,normalized_st_name,one_way_bool,week_1_bool,week_2_bool,week_3_bool,week_4_bool,week_5_bool,sunday_bool,monday_bool,tuesday_bool,wednesday_bool,thursday_bool,friday_bool,saturday_bool,every_day_bool,year_round_bool,north_end_pilot_bool,suburb
125,Boston St,5,South Boston,09:00,13:00,odd,Dorchester Ave,Songin Father Anthony Way,0.105681818181818,,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,f,2019-03-15 13:16:45+00,BOSTO1,0.0,558.0,2024-09-12 04:31:41+00,boston st,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,South Boston
126,Brent St,7,Dorchester,08:00,12:00,even,Washington St,Melbourne St,0.298106060606061,,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,2012-02-14 13:36:32+00,BRENT1,0.0,1574.0,2024-09-12 04:31:41+00,brent st,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,Dorchester
127,Brackett St,4,Allston/Brighton,08:00,12:00,even,Washington St,Faneuil St,0.122916666666667,,f,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,BRACK1,0.0,649.0,2024-09-12 04:31:41+00,brackett st,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,Allston/Brighton
128,Clarkson St,3,Dorchester,08:00,12:00,even,Hendry St,Quincy St,0.0602272727272727,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2012-02-14 13:36:32+00,CLARK3,0.0,318.0,2024-09-12 04:31:41+00,clarkson st,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,Dorchester
129,Auburn St,1C,Charlestown,12:00,16:00,odd,Main St,Bunker Hill St,0.132007575757576,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,AUBUR1,0.0,697.0,2024-09-12 04:31:41+00,auburn st,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,Charlestown
131,Clarkwood St,7,Dorchester,12:00,16:00,even,Blue Hill Ave,Norfolk St,0.197537878787879,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2012-02-14 13:36:32+00,CLARK4,0.0,1043.0,2024-09-12 04:31:41+00,clarkwood st,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,Dorchester
132,Auckland St,3,Dorchester,08:00,12:00,even,Savin Hill Ave,Dead End,0.281060606060606,,f,f,t,f,t,f,f,t,f,f,f,f,f,f,f,f,2014-04-01 12:38:14+00,AUCKL1,863.0,2347.0,2024-09-12 04:31:41+00,auckland st,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,Dorchester
133,Albion Pl,1C,Charlestown,12:00,16:00,even,Main St,Auburn Sq,0.0725378787878788,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,ALBIO1,0.0,383.0,2024-09-12 04:31:41+00,albion pl,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,Charlestown
134,Auckland St,3,Dorchester,08:00,12:00,odd,Savin Hill Ave,Dead End,0.281060606060606,,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,f,2014-04-01 12:38:08+00,AUCKL1,863.0,2347.0,2024-09-12 04:31:41+00,auckland st,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,Dorchester
137,Ames St,7,Dorchester,08:00,12:00,even,Westview St,Dead End,0.304166666666667,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,AMES 1,0.0,1606.0,2024-09-12 04:31:41+00,ames st,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,Dorchester
138,Almont St,7,Dorchester,08:00,12:00,odd,Blue Hill Ave,Walk Hill St,0.583901515151515,,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,ALMON1,0.0,3083.0,2024-09-12 04:31:41+00,almont st,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,Dorchester
139,Bennington St,9,East Boston,12:00,16:00,even,Neptune Rd,Saratoga St,1.06098484848485,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,BENNI4,908.0,6510.0,2024-09-12 04:31:41+00,bennington st,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,East Boston
140,Belmore Ter,2,Jamaica Plain,08:00,12:00,even,Boylston St,Oakview Ter,0.0589015151515151,,f,f,t,f,t,f,f,t,f,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,BELMO2,0.0,311.0,2024-09-12 04:31:41+00,belmore ter,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,Jamaica Plain
141,Austin St,1C,Charlestown,12:00,16:00,even,Main St,Rutherford Ave,0.125757575757576,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2012-02-14 13:36:32+00,AUSTI3,0.0,664.0,2024-09-12 04:31:41+00,austin st,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,Charlestown
142,Austin St,1C,Charlestown,12:00,16:00,odd,Main St,Rutherford Ave,0.125757575757576,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2012-02-14 13:36:32+00,AUSTI3,0.0,664.0,2024-09-12 04:31:41+00,austin st,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,Charlestown
143,Brooks St,9,East Boston,12:00,16:00,odd,Chelsea St,Princeton St,0.20928,,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,2015-04-07 19:16:09+00,BROOK12,222.0,1327.0,2024-09-12 04:31:41+00,brooks st,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,East Boston
144,Bucknam St,10M,Mission Hill,12:00,16:00,even,Lawn St,Fisher Ave,0.0803030303030303,,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,2018-09-24 17:15:00+00,BUCKN1,0.0,424.0,2024-09-12 04:31:41+00,bucknam st,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,Mission Hill
145,Chesterton St,10R,Roxbury,12:00,16:00,odd,Massachusetts Ave,Allerton St,0.108712121212121,,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,f,2012-02-29 15:06:53+00,CHEST4,0.0,574.0,2024-09-12 04:31:41+00,chesterton st,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,Roxbury
146,Bowdoin St,1H,Beacon Hill,00:01,07:00,odd,Derne St,Beacon St,0.105681818181818,,t,t,t,t,t,t,f,f,f,t,f,f,f,f,t,t,2012-02-29 15:06:53+00,BOWDO4,626.0,1184.0,2024-09-12 04:31:41+00,bowdoin st,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,True,Beacon Hill
147,Arcola St,2,Jamaica Plain,12:00,16:00,even,Day St,Dead End,0.0607954545454545,,f,f,t,f,t,f,f,t,f,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,ARCOL1,0.0,321.0,2024-09-12 04:31:41+00,arcola st,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,Jamaica Plain
148,Cleveland St,10R,Roxbury,08:00,12:00,even,Winthrop St,Moreland St,0.0676136363636364,,f,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,CLEVE2,0.0,357.0,2024-09-12 04:31:41+00,cleveland st,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,Roxbury
149,Chaucer St,9,East Boston,12:00,16:00,even,Curtis St,Moore St,0.112689393939394,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,CHAUC1,0.0,595.0,2024-09-12 04:31:41+00,chaucer st,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,East Boston
150,Charter St,1N,North End,08:00,12:00,odd,Hanover St,Commercial St,0.259090909090909,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,t,2019-07-01 14:17:21+00,CHART1,0.0,1368.0,2024-09-12 04:31:41+00,charter st,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,North End
151,Bentham Rd,3,Dorchester,08:00,12:00,even,Draper St,Mount Ida Rd,0.0560606060606061,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2012-02-14 13:36:32+00,BENTH1,0.0,296.0,2024-09-12 04:31:41+00,bentham rd,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,Dorchester
152,Border St,9,East Boston,08:00,12:00,even,Central Sq,Dead End,0.558712121212121,,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,f,2024-08-28 11:35:55+00,BORDE1,1748.0,4698.0,2024-09-12 04:31:41+00,border st,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,East Boston
153,Blossom Ct,1W,West End,02:00,07:00,none,Blossom St,Emerson Pl,0.0511363636363636,,f,t,t,t,t,t,t,t,t,t,t,t,t,t,t,f,2012-02-29 15:06:53+00,BLOSS3,0.0,270.0,2024-09-12 04:31:41+00,blossom ct,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,West End
154,Callender St,7,Dorchester,08:00,12:00,odd,Tucker St,Don St,0.37405303030303,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,CALLE1,0.0,1975.0,2024-09-12 04:31:41+00,callender st,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,Dorchester
155,Arbutus St,7,Dorchester,08:00,12:00,even,Blue Hill Ave,Irma St,0.14375,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,ARBUT1,0.0,759.0,2024-09-12 04:31:41+00,arbutus st,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,Dorchester
156,Adams St,3,Dorchester,08:00,12:00,even,Bowdoin St,Leedsville St,0.304545454545455,,f,f,t,f,t,f,f,f,f,t,t,f,f,f,f,f,2012-02-14 13:36:32+00,ADAMS1,195.0,1803.0,2024-09-12 04:31:41+00,adams st,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,Dorchester
157,Castleton St,2,Jamaica Plain,12:00,16:00,odd,South Huntington Ave,Jamaicaway,0.149621212121212,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2012-02-14 13:36:32+00,CASTL4,0.0,790.0,2024-09-12 04:31:41+00,castleton st,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,Jamaica Plain
158,Annapolis St,3,Dorchester,12:00,16:00,even,Sumner St,Bakersfield St,0.0649621212121212,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,ANNAP1,0.0,343.0,2024-09-12 04:31:41+00,annapolis st,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,Dorchester
159,Anson St,2,Jamaica Plain,08:00,12:00,even,South St,Dead End,0.0564393939393939,,f,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,2021-03-25 12:08:47+00,ANSON1,0.0,298.0,2024-09-12 04:31:41+00,anson st,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,Jamaica Plain
160,Cedar St,1C,Charlestown,12:00,16:00,even,High St,Bartlett St,0.0852272727272727,,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,2012-02-14 13:36:32+00,CEDAR4,0.0,450.0,2024-09-12 04:31:41+00,cedar st,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,Charlestown
161,Adams St,10R,Roxbury,08:00,12:00,odd,Eustis St,Forest St,0.109659090909091,,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,ADAMS5,563.0,1142.0,2024-09-12 04:31:41+00,adams st,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,Roxbury
